subject,category,congruency,accuracy,median_rt
1,manmade,congruent,0.966386555,517
2,manmade,congruent,0.821138211,479
3,manmade,congruent,0.968253968,478.5
4,manmade,congruent,0.926229508,509
5,manmade,congruent,0.921875,486.5
6,manmade,congruent,0.916666667,464
7,manmade,congruent,0.90625,421.5
8,manmade,congruent,0.913385827,444
9,manmade,congruent,0.976190476,456
10,manmade,congruent,0.948979592,432
11,manmade,congruent,0.78125,321.5
12,manmade,congruent,0.9609375,486.5
13,manmade,congruent,0.94488189,458
14,manmade,congruent,0.912698413,535.5
15,manmade,congruent,0.9609375,415.5
16,manmade,congruent,0.9453125,465
17,manmade,congruent,0.966942149,541
18,manmade,congruent,0.921875,411
19,manmade,congruent,0.98245614,523
20,manmade,congruent,0.957983193,583
21,manmade,congruent,0.748031496,493
22,manmade,congruent,0.968503937,488
23,manmade,congruent,0.930693069,595
1,manmade,incongruent,0.866666667,549
2,manmade,incongruent,0.704918033,504
3,manmade,incongruent,0.95,507.5
4,manmade,incongruent,0.868852459,549
5,manmade,incongruent,0.936507937,499
6,manmade,incongruent,0.883333333,493
7,manmade,incongruent,0.828125,467.5
8,manmade,incongruent,0.888888889,444
9,manmade,incongruent,0.9375,468.5
10,manmade,incongruent,0.916666667,449
11,manmade,incongruent,0.75,322.5
12,manmade,incongruent,0.783333333,500
13,manmade,incongruent,0.875,460.5
14,manmade,incongruent,0.6875,558
15,manmade,incongruent,0.78125,454
16,manmade,incongruent,0.875,494.5
17,manmade,incongruent,0.819672131,517
18,manmade,incongruent,0.78125,422
19,manmade,incongruent,0.946428571,584.5
20,manmade,incongruent,0.890909091,642
21,manmade,incongruent,0.765625,499.5
22,manmade,incongruent,0.890625,505.5
23,manmade,incongruent,0.86,617
1,natural,congruent,0.96031746,473.5
2,natural,congruent,0.947368421,490.5
3,natural,congruent,0.976,469
4,natural,congruent,0.958677686,495
5,natural,congruent,0.96875,458.5
6,natural,congruent,0.952380952,470.5
7,natural,congruent,0.9375,433
8,natural,congruent,0.8828125,432.5
9,natural,congruent,0.9921875,424
10,natural,congruent,0.894736842,415
11,natural,congruent,0.859375,326
12,natural,congruent,1,470
13,natural,congruent,0.921259843,450
14,natural,congruent,0.992,495
15,natural,congruent,0.992125984,395
16,natural,congruent,0.984375,443.5
17,natural,congruent,0.941176471,509
18,natural,congruent,0.9609375,408.5
19,natural,congruent,0.991071429,515
20,natural,congruent,0.992125984,540
21,natural,congruent,0.944444444,461.5
22,natural,congruent,0.96031746,481.5
23,natural,congruent,0.990291262,541
1,natural,incongruent,0.920634921,489
2,natural,incongruent,0.894736842,486
3,natural,incongruent,1,477
4,natural,incongruent,0.883333333,488.5
5,natural,incongruent,0.96875,462
6,natural,incongruent,0.967741935,457.5
7,natural,incongruent,0.875,431
8,natural,incongruent,0.90625,437.5
9,natural,incongruent,0.984375,444.5
10,natural,incongruent,0.897959184,434
11,natural,incongruent,0.8125,322.5
12,natural,incongruent,0.96875,477
13,natural,incongruent,0.890625,465
14,natural,incongruent,0.950819672,468
15,natural,incongruent,0.96875,430
16,natural,incongruent,0.984375,445
17,natural,incongruent,0.901639344,543
18,natural,incongruent,0.859375,413.5
19,natural,incongruent,0.982142857,517
20,natural,incongruent,0.984126984,556
21,natural,incongruent,0.890625,488
22,natural,incongruent,0.96875,508
23,natural,incongruent,0.962962963,566.5
